epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,229.876,0.93051,1.15126,1.23462,0.61502,1,0.995,0.65602,0.90882,1.77912,1.48267,0.00073025,0.00073025,0.00073025
44,236.916,0.99213,1.14583,1.14827,0.63365,1,0.995,0.69993,0.82277,1.95328,1.39584,0.000717875,0.000717875,0.000717875
45,242.595,0.9011,1.07702,1.10881,0.90544,0.73803,0.995,0.69305,0.94184,1.82969,1.49565,0.0007055,0.0007055,0.0007055
46,248.885,0.99216,1.13452,1.13557,0.62254,1,0.995,0.65913,0.93534,1.75256,1.49406,0.000693125,0.000693125,0.000693125
47,256.052,1.04597,1.07702,1.22892,0.76259,1,0.995,0.68429,0.86647,1.68771,1.41869,0.00068075,0.00068075,0.00068075
48,262.523,0.99541,1.06708,1.14447,0.68711,0.99242,0.87062,0.67573,0.89294,1.82143,1.39299,0.000668375,0.000668375,0.000668375
49,269.007,0.91742,1.04102,1.11002,0.68523,0.97053,0.87062,0.6606,0.86704,1.97194,1.33853,0.000656,0.000656,0.000656
50,275.419,0.9442,1.01227,1.11288,0.96277,0.75,0.82917,0.64151,0.83616,1.90344,1.36131,0.000643625,0.000643625,0.000643625
51,281.496,0.92326,1.00552,1.12147,0.963,0.75,0.80844,0.6422,0.78026,1.90333,1.25041,0.00063125,0.00063125,0.00063125
52,287.069,0.88793,1.10605,1.08445,0.98173,0.75,0.82917,0.6301,0.9206,1.62019,1.34365,0.000618875,0.000618875,0.000618875
53,293.442,0.84817,0.93504,1.09186,0.67676,1,0.87062,0.65291,0.97078,1.53177,1.40214,0.0006065,0.0006065,0.0006065
54,299.599,0.86491,0.90454,1.06451,0.71657,1,0.87062,0.74001,0.75748,1.37962,1.26596,0.000594125,0.000594125,0.000594125
55,305.605,0.86018,0.95525,1.0959,0.80564,1,0.995,0.85814,0.64494,1.31539,1.19468,0.00058175,0.00058175,0.00058175
56,311.468,0.83365,0.98375,1.07097,0.82365,1,0.995,0.86434,0.65204,1.25017,1.19086,0.000569375,0.000569375,0.000569375
57,316.922,0.82385,0.89815,1.07702,0.84528,1,0.995,0.8955,0.5898,1.21032,1.14502,0.000557,0.000557,0.000557
58,322.267,0.80219,0.92036,1.04019,0.86635,1,0.995,0.92037,0.54001,1.19437,1.11435,0.000544625,0.000544625,0.000544625
59,328.131,0.84926,0.9851,1.10534,0.92273,1,0.995,0.93276,0.48417,1.18583,1.10301,0.00053225,0.00053225,0.00053225
60,334.515,0.85743,0.94885,1.0355,0.95885,1,0.995,0.93276,0.46405,1.19765,1.11453,0.000519875,0.000519875,0.000519875
61,339.895,0.81484,0.87956,1.05192,0.96236,1,0.995,0.92037,0.49117,1.21145,1.11666,0.0005075,0.0005075,0.0005075
62,345.069,0.9031,0.89167,1.08861,0.96172,1,0.995,0.92037,0.51233,1.22463,1.12135,0.000495125,0.000495125,0.000495125
63,350.565,0.80053,0.85209,1.06864,0.96071,1,0.995,0.92037,0.54169,1.23215,1.13545,0.00048275,0.00048275,0.00048275
64,356.133,0.75998,0.97675,1.07569,0.96751,1,0.995,0.89541,0.59766,1.09141,1.16281,0.000470375,0.000470375,0.000470375
65,362.078,0.73119,0.777,0.99898,0.96519,1,0.995,0.82087,0.73634,1.15448,1.18145,0.000458,0.000458,0.000458
66,367.519,0.82129,0.82653,1.05817,0.96317,1,0.995,0.8022,0.77936,1.1396,1.18343,0.000445625,0.000445625,0.000445625
67,373.392,0.77022,0.85674,1.0726,0.96052,1,0.995,0.8022,0.78292,1.1568,1.18976,0.00043325,0.00043325,0.00043325
68,379.138,0.73551,0.95152,1.04705,0.94337,1,0.995,0.78352,0.85418,1.26899,1.27095,0.000420875,0.000420875,0.000420875
69,384.682,0.85714,0.9059,1.09087,0.92862,1,0.995,0.8022,0.81016,1.21519,1.27699,0.0004085,0.0004085,0.0004085
70,390.998,0.76224,0.83475,1.01972,0.88514,1,0.995,0.82708,0.70028,1.2241,1.24933,0.000396125,0.000396125,0.000396125
71,396.665,0.77898,0.85258,1.03791,0.82991,1,0.995,0.84575,0.62488,1.23562,1.21305,0.00038375,0.00038375,0.00038375
72,401.895,0.74375,0.79665,1.04382,0.81856,1,0.995,0.83328,0.65662,1.27832,1.21952,0.000371375,0.000371375,0.000371375
73,407.437,0.78798,0.85473,1.04918,0.83517,1,0.995,0.83328,0.7005,1.28734,1.24613,0.000359,0.000359,0.000359
74,413.125,0.70996,0.87335,1.0297,0.81071,1,0.995,0.82708,0.75137,1.29066,1.25976,0.000346625,0.000346625,0.000346625
75,419.915,0.71289,0.78667,1.04239,0.79246,1,0.995,0.82708,0.77238,1.27987,1.27479,0.00033425,0.00033425,0.00033425
76,426.85,0.6851,0.73103,0.99296,0.71115,1,0.995,0.83948,0.61344,1.2677,1.17834,0.000321875,0.000321875,0.000321875
77,434.622,0.66349,0.75488,0.9799,0.69009,1,0.995,0.86434,0.5528,1.18795,1.13301,0.0003095,0.0003095,0.0003095
78,440.682,0.72981,0.83072,1.04247,0.65666,1,0.995,0.88922,0.54933,1.2029,1.11752,0.000297125,0.000297125,0.000297125
79,447.838,0.67823,0.78253,0.96862,0.66677,1,0.995,0.87063,0.55505,1.17213,1.10824,0.00028475,0.00028475,0.00028475
80,454.115,0.77494,0.83189,1.06272,0.82898,1,0.995,0.87683,0.5049,1.0406,1.06877,0.000272375,0.000272375,0.000272375
81,459.488,0.73831,0.78567,1.09244,0.87459,1,0.995,0.90171,0.49818,1.02158,1.0639,0.00026,0.00026,0.00026
82,465.032,0.73022,0.7707,1.00569,0.90547,1,0.995,0.90788,0.48811,1.01772,1.05981,0.000247625,0.000247625,0.000247625
83,470.691,0.64875,0.75035,0.98193,0.91674,1,0.995,0.8954,0.4736,1.02496,1.05435,0.00023525,0.00023525,0.00023525
84,476.122,0.68583,0.76343,1.00316,0.94549,1,0.995,0.93897,0.45983,1.00796,1.03776,0.000222875,0.000222875,0.000222875
85,481.638,0.69762,0.74623,0.99721,0.94661,1,0.995,0.93276,0.46951,0.97998,1.03571,0.0002105,0.0002105,0.0002105
86,487.488,0.60214,0.68918,0.9796,0.95166,1,0.995,0.93897,0.47265,0.96578,1.03835,0.000198125,0.000198125,0.000198125
87,494.043,0.66775,0.73324,0.99005,0.94781,1,0.995,0.9079,0.47943,0.95823,1.04428,0.00018575,0.00018575,0.00018575
88,499.862,0.64631,0.69785,0.98976,0.91792,1,0.995,0.9017,0.45575,0.94406,1.03205,0.000173375,0.000173375,0.000173375
89,506.447,0.67016,0.76647,1.01446,0.89271,1,0.995,0.9017,0.43481,0.92529,1.02565,0.000161,0.000161,0.000161
90,512.677,0.69764,0.7153,1.01121,0.86847,1,0.995,0.92657,0.42071,0.93249,1.0263,0.000148625,0.000148625,0.000148625
91,519.464,0.57008,0.78972,0.95656,0.86612,1,0.995,0.92657,0.41015,0.91745,1.03624,0.00013625,0.00013625,0.00013625
92,526.059,0.55719,1.09258,0.93554,0.87404,1,0.995,0.94525,0.40842,0.89622,1.04219,0.000123875,0.000123875,0.000123875
93,532.133,0.51851,0.72675,0.92348,0.88399,1,0.995,0.94525,0.41175,0.93023,1.0358,0.0001115,0.0001115,0.0001115
94,538.022,0.52048,0.73974,0.87707,0.88537,1,0.995,0.90788,0.44193,0.96666,1.03756,9.9125e-05,9.9125e-05,9.9125e-05
95,544.754,0.49557,0.73981,0.8825,0.89234,1,0.995,0.91409,0.46273,0.99337,1.04334,8.675e-05,8.675e-05,8.675e-05
96,552.363,0.5333,0.74067,0.91659,0.9025,1,0.995,0.91409,0.46525,1.0134,1.04587,7.4375e-05,7.4375e-05,7.4375e-05
97,559.35,0.49385,0.72545,0.88693,0.90611,1,0.995,0.92658,0.45635,0.99363,1.04308,6.2e-05,6.2e-05,6.2e-05
98,565.277,0.46905,0.69065,0.88884,0.9081,1,0.995,0.92658,0.44468,0.97989,1.0401,4.9625e-05,4.9625e-05,4.9625e-05
99,571.639,0.49886,0.73999,0.88867,0.90997,1,0.995,0.9079,0.43963,0.97291,1.03664,3.725e-05,3.725e-05,3.725e-05
100,578.641,0.47894,0.73135,0.8626,0.91721,1,0.995,0.93278,0.43367,0.95785,1.03695,2.4875e-05,2.4875e-05,2.4875e-05
